fila_excel;bloque;codigo_excel;codigo_esperado;descripcion_excel;fuera_pmo;estado;codigo_en_nuestra_base;nombre_en_nuestra_base;parecido;raices_comunes
39;NN;34;660034;Anhidrasa carbónica B eritrositária.;;esta (mismo codigo);660034;ANHIDRASA CARBONICA B ERITROCITARIA;1.0;3
40;NN;35;660035;Antibiograma. (ver norma gral. 12). Incluye 104-106;;esta (mismo codigo);660035;ANTIBIOGRAMA (ATBG);0.33;1
41;NN;36;660036;Antibiograma Bacilo de Koch (siete antibióticos).;;esta (mismo codigo);660036;ANTIBIOGRAMA BACILO DE KOCH (7) siete antibióticos.;1.0;4
45;NN;40;660040;Anicuerpos antiglomerular, inmunofluorescencia.;;esta (mismo codigo);660040;ANTICUERPOS ANTIGLOMERULAR , (IFI);0.33;1
46;NN;41;660041;Anticuerpos antimembrana basal inmunofluorescencia.;;esta (mismo codigo);660041;ANTICUERPOS ANTIMEMBRANA BASAL, (IFI);0.67;2
47;NN;42;660042;anticuerpos antimúsculo liso inmunofluorescencia.;;esta (mismo codigo);660042;ANTICUERPO ANTIMUSCULO LISO (ASMA), (IFI);0.5;2
48;NN;43;660043;Anticuerpos contra cepa bacteriana aislada.;;esta (mismo codigo);660043;ANTICUERPOS CONTRA CEPA BACTERIANA AISLADA;1.0;4
49;NN;44;660044;Anticuerpos antifracción microsomal de tiroides, hemoaglutinación.;;esta (mismo codigo);660044;ANTICUERPOS ANTIFRACCION MICROSOMAL DE TIROIDES (IFI);0.75;3
51;NN;46;660046;Anticuerpos, antitiroglobulina, hemoaglutinación.;;esta (mismo codigo);660046;ANTICUERPOS ANTITIROGLOBULINA (ATG);0.5;1
54;NN;49;660049;Antidesoxirribonucleasa (ADENASA).;;esta (mismo codigo);660049;ANTIDESIXIRRIBONUCLEASA - ADNEASA – Anti-DNA.;0.33;1
55;NN;50;660050;Antiestafilolisina.;;esta (mismo codigo);660050;ANTIESTAFILOLISINA;1.0;1
56;NN;51;660051;Antiestreptolisinas *O*.;;esta (mismo codigo);660051;"ANTIESTREPTOLISINAS ""O"" (ASO / ASTO / AELO), cuantitativa";0.25;1
57;NN;52;660052;Antiestreptoquinasa.;;esta (mismo codigo);660052;ANTIESTREPTOQUINASA;1.0;1
59;NN;54;660054;Antihialuronidasa.;;esta (mismo codigo);660054;ANTIHIALURONIDASA;1.0;1
60;NN;55;660055;Antimitocondriales, anticuerpos, inmunofluorescencia.;;esta (mismo codigo);660055;ANTIMITOCONDRIALES , ANTICUERPOS (AMA);0.5;1
61;NN;56;660056;Antinucleares, anticuerpos, inmunofluorescencia.;;esta (mismo codigo);660056;ANTINUCLEARES ANTICUERPOS (FAN / ANA / AAN);0.5;1
63;NN;58;660058;Antitrombina, titulación.;;esta (mismo codigo);660058;ANTITROMBINA III - con calibración de tres (3) puntos.;0.2;1
64;NN;59;660059;Arsénico.;;esta (mismo codigo);660059;ARSENICO (As) - sérico o urinario.;0.33;1
65;NN;60;660060;Ascórbico, ácido.;;esta (mismo codigo);660060;ASCORBICO, ÁCIDO - sérico;0.67;2
66;NN;61;660061;Autovacuna.;;esta (mismo codigo);660061;AUTOVACUNA, NO SE ACONSEJA POR RECOMENDACIÓN MÉDICA;0.25;1
91;NN;101;660101;Baciloscopía, directa (Zielh-Neelsen). En urgencia sumar código 999. Incluido en 102;;esta (mismo codigo);660101;BACILOSCOPIA DIRECTA - ZIEHL NEELSEN (por muestra);0.5;3
92;NN;102;660102;Baciloscopía directa y cultivo.;;esta (mismo codigo);660102;BACILOSCOPIA, DIRECTA y CULTIVO (por muestra);0.75;3
93;NN;103;660103;Baciloscopía por inmunofluorescencia.;;esta (mismo codigo);660103;BACILOSCOPIA, (IFI - por muestra);0.33;1
94;NN;104;660104;Bacteriología directa (Gram). En urgencia sumar código 999. Esta incluido en 35-105-106-187-468-532;;esta (mismo codigo);660104;BACTERIOLOGIA, DIRECTA (Coloración de Gram);0.75;3
95;NN;105;660105;Bacteriología directa y cultivo con identificación bioquímica de gérmenes. (ver norma número 12 item K) Esta incluido en 187-532-468;;esta (mismo codigo);660105;BACTERIOLOGICO, DIRECTO-CULTIVO e IDENTIFICACIÓN del GÉRMEN;0.62;5
97;NN;107;660107;Barbitúrico, en orina.;;esta (mismo codigo);660107;BARBITÚRICOS - urinarios.;0.33;1
98;NN;108;660108;Bence-Jones, proteínas de;;esta (mismo codigo);660108;BENCE- JONES, PROTEINAS de (HPLC / IMF);0.75;3
99;NN;109;660109;Bicarbonato. En urgencia sumar código 999. Incluido en 546;;esta (mismo codigo);660109;BICARBONATO.;1.0;1
100;NN;110;660110;Bilirrubinemia total, directa e indirecta. En urgencia sumar código 999. Incluido en 481;;esta (mismo codigo);660110;BILIRRUBINEMIA TOTAL, DIRECTA E INDIRECTA.;1.0;3
101;NN;111;660111;Bilirrubinuria.;;esta (mismo codigo);660111;BILIRRUBINURIA.;1.0;1
114;NN;131;660131;Cadena liviana, Kappa y Lambda.;;esta (mismo codigo);660131;CADENA LIVIANA KAPPA Y LAMBDA - urinario (IMF);0.8;4
115;NN;132;660132;Cadmio, tóxico en orina.;;esta (mismo codigo);660132;CADMIO (Cd) - urinario.;0.25;1
116;NN;133;660133;Calcemia total. En urgencia sumar código 999.;;esta (mismo codigo);660133;CALCEMIA TOTAL (Ca);1.0;1
117;NN;134;660134;Calcio iónico.;;esta (mismo codigo);660134;CALCIO IONICO.;1.0;2
118;NN;135;660135;Calcio, prueba de la sobrecarga de;;esta (mismo codigo);660135;CALCIO PRUEBA DE LA SOBRECARGA;1.0;2
119;NN;136;660136;Calciuria.;;esta (mismo codigo);660136;CALCIO - urinario.;0.5;1
120;NN;137;660137;Calcitonina plasmática, radioinmunoensayo.;;esta (mismo codigo);660137;CALCITONINA - sérica.;0.25;1
121;NN;138;660138;Cálculo urinario, exámen fisioquímico.;;esta (mismo codigo);660138;CALCULO - urinario.;0.5;2
122;NN;139;660139;Carbónico, anhídrido (PCO2). Incluido en 5-404;;esta (mismo codigo);660139;CARBONICO, ANDHIDRICO - (PCO2);0.5;2
123;NN;140;660140;Cariotipo, mapa cromosómico.;;esta (mismo codigo);660140;CARIOTIPO, MAPA CROMOSOMICO.;1.0;3
124;NN;141;660141;Caroteno beta, en sangre.;;esta (mismo codigo);660141;CAROTENO BETA - sérico.;0.5;2
126;NN;143;660143;Catecoláminas libres fraccionadas.;;esta (mismo codigo);660143;CATECOLAMINAS , LIBRES - FRACCIONADAS;1.0;3
127;NN;144;660144;CEA (carcinoembriogénico) por radioinmunoensayos.;;esta (mismo codigo);660144;CEA - ANTÍGENO CARCINOEMBRIOGENICO.;0.33;1
131;NN;148;660148;Células neoplásicas (líquidos, exudados, trasudados).;;esta (mismo codigo);660148;CELULAS NEOPLASICAS - líquidos, exudados, trasudados.;1.0;5
133;NN;150;660150;Cerebrosidos, cromatografía.;;esta (mismo codigo);660150;CEREBROSIDOS (Cromatográfico).;1.0;2
134;NN;151;660151;Ceruloplasmina.;;esta (mismo codigo);660151;CERULOPLASMINA.;1.0;1
135;NN;152;660152;Cetogenoesteroides urinarios.;;esta (mismo codigo);660152;CETOGENOESTEROIDES - urinarios.;1.0;2
137;NN;154;660154;Cetonemia.;;esta (mismo codigo);660154;CETONEMIA.;1.0;1
140;NN;157;660157;17 - Cetoesteroides neutros urinarios totales -;;esta (mismo codigo);660157;17- CETOESTEROIDES .NEUTROS TOTALES;0.75;3
141;NN;158;660158;17 - cetoesteroides, prueba o respuesta de los, a la estimulación con ACTH -;;esta (mismo codigo);660158;17 CETOESTER. , Prueba/Resp. de los , A LA ESTIMULACION CON ACTH;0.6;3
142;NN;159;660159;17 - Cetoesteroides, prueba o respuesta de los, a la inhibición con dexametasona -;;esta (mismo codigo);660159;17 CETOESTER. , Pba/Resp. de los , A LA INHIBIC. CON DEXAMETASONA;0.6;3
143;NN;160;660160;17 - cetoesteroides, prueba o respuesta de los, a la inhibición con dexametasona y estimulación  con gonadotrofinas coriónicas -;;esta (mismo codigo);660160;17 CETOESTER., Pba/Rta. de los, A LA INHIB. C/DEXAMET. Y ESTIMUL.c/GONAD.CORIONICAS;0.86;6
144;NN;161;660161;17 - Cetoesteroides y 17 hidroxicorticoides, prueba o rrespuesta de los,  a la estimulación con ACTH -;;esta (mismo codigo);660161;17 CETOESTER. Y 17 HIDROXICORT., Pba/Rta.de los, A LA ESTIMUL.c/ ACTH;0.8;4
146;NN;163;660163;Citología exfoliativa (inmunofluorescente).;X;esta (mismo codigo);660163;CITOLOGIA EXFOLIATIVA;0.67;2
147;NN;164;660164;Citología vaginal hormonal (una muestra).;;esta (mismo codigo);660164;CITOLOGIA EXFOLIATIVA - VAGINAL HORMONAL (por cada muestra);0.8;4
149;NN;166;660166;Citología vaginal hormonal, un ciclo.;X;esta (mismo codigo);660166;CITOLOGIA VAGINAL HORMONAL de UN (1) CICLO;1.0;4
150;NN;167;660167;Cítrico Acido. Incluido en 298;;esta (mismo codigo);660167;CITRICO, ÁCIDO - líquido seminal (ESTUDIO DEL SEMEN);0.4;2
151;NN;168;660168;Cloro plasmático. En urgencia sumar código 999. Incluido 546;;esta (mismo codigo);660168;CLORO (Cl) - sérico.;0.33;1
152;NN;169;660169;Coagulación y sangria. Tiempo de. En urgencia sumar código 999. Incluido en 171;;esta (mismo codigo);660169;COAGULACION, TIEMPO DE;0.67;2
153;NN;170;660170;Coágulo. Retracción del;;esta (mismo codigo);660170;COAGULO, RETRACCION DEL;1.0;2
155;NN;172;660172;Cobre en sangre.;;esta (mismo codigo);660172;COBRE (Cu) - sérico.;0.33;1
156;NN;173;660173;Cocaína.;;esta (mismo codigo);660173;COCAINA (Inmunocromatografía/Cromatográfico);0.33;1
157;NN;174;660174;Colesterol total. Incluido en 481;;esta (mismo codigo);660174;COLESTEROL TOTAL;1.0;1
159;NN;176;660176;Colonias. Recuento de;;esta (mismo codigo);660176;COLONIAS, RECUENTO DE.;1.0;2
160;NN;177;660177;Compatibilidad Rhogam sangre materna (incluye determinación de DU y coombs indirecta).;;esta (mismo codigo);660177;COMPATIBILIDAD - sangre materna.;0.5;3
161;NN;178;660178;Compatibilidad sanguínea matrimonial: Dos grupos sistema ABO y dos genotipos sistema RH.;;esta (mismo codigo);660178;COMPATIBILIDAD MATRIMONIAL - sanguínea en cónyuges.;0.43;3
162;NN;179;660179;Complemento, actividad total.;;esta (mismo codigo);660179;COMPLEMENTO, ACTIVIDAD TOTAL.- COMPLEMENTO 50% LISIS (CH-50);0.67;2
163;NN;180;660180;Complemento, valoración inmunoquímica: C1Q, C15, C3, C4, C5, C7, C8, cada determinación.;;esta (mismo codigo);660180;COMPLEMENTO VALORACION INMUNOQUIMICA;1.0;3
164;NN;181;660181;Concentración de líquidos biológicos.;;esta (mismo codigo);660181;CONCENTRACIÓN DE LIQUIDOS BIOLÓGICOS.;1.0;3
165;NN;182;660182;Concentración. prueba de la (función renal).;;esta (mismo codigo);660182;CONCENTRACIÓN, PRUEBA DE LA - FUNCION RENAL;1.0;3
167;NN;184;660184;Coombs directa. Prueba. En urgencia sumar código 999.;;esta (mismo codigo);660184;COOMBS DIRECTA POLIESPECÍFICA, PRUEBA DE;0.67;2
169;NN;186;660186;Coombs indirecta cuantitativa.;;esta (mismo codigo);660186;COOMBS INDIRECTA;0.67;2
170;NN;187;660187;Coprocultivo. (ver norma número 12 item N) Incluye 104-105-106;;esta (mismo codigo);660187;COPROCULTIVO.;0.33;1
172;NN;189;660189;Cortisol plasmático, radioinmunoensayo.;;esta (mismo codigo);660189;CORTISOL.;0.33;1
173;NN;190;660190;Creatinquinasa (CPK). En urgencia sumar código 999.;;esta (mismo codigo);660190;CREATINQUINASA - CPK.;1.0;1
174;NN;191;660191;Creatina, orina o sangre.;;esta (mismo codigo);660191;CREATININA - en orina;0.67;2
175;NN;192;660192;Creatinina, orina o sangre. En urgencia sumar código 999.;;esta (mismo codigo);660192;CREATININA - en sangre;0.67;2
176;NN;193;660193;Creatinina, clearence de depuración. Incluye 191-192;;esta (mismo codigo);660193;CREATININA, CLEARENCE DE DEPURACION.;1.0;3
177;NN;194;660194;Crioaglutinina.;;esta (mismo codigo);660194;CRIOAGLUTININA.;1.0;1
178;NN;195;660195;Crioglubulinas.;;esta (mismo codigo);660195;CRIOGLOBULINAS.;1.0;1
179;NN;196;660196;Cromatina sexual.;;esta (mismo codigo);660196;CROMATINA SEXUAL;1.0;2
210;NN;241;660241;Chagas. Aglutinacíon directa.;;esta (mismo codigo);660241;CHAGAS (AD);0.33;1
211;NN;242;660242;Chagas, fijación de complemento.;;esta (mismo codigo);660242;CHAGAS (HAI);0.33;1
212;NN;243;660243;Chagas, inmunofluorescencia.;;esta (mismo codigo);660243;CHAGAS, Ac. Totales / IgG (IFI / ELISA / QL);0.33;1
213;NN;244;660244;Chagas, reacción de latex.;;esta (mismo codigo);660244;CHAGAS, PARASITEMIA.;0.33;1
226;NN;261;660261;Davidson diferencial, prueba de;;esta (mismo codigo);660261;DAVIDSON DIFERENCIAL PRUEBA;1.0;2
227;NN;262;660262;Dehidroepiandrosterona en orina.;;esta (mismo codigo);660262;DEHIDROEPIANDROSTERONA, SULFATO - DHEA-S.;0.25;1
231;NN;266;660266;Dilución. Prueba de la funcón renal.;;esta (mismo codigo);660266;DILUCION , PRUEBA DE LA FUNCION RENAL;0.5;2
233;NN;268;660268;Digoxin (por radioinmunoensayo).;;esta (mismo codigo);660268;DIGOXIN (DIGOXINA);0.5;1
234;NN;269;660269;Disacaridasas.;;esta (mismo codigo);660269;DISACARIDASAS.;1.0;1
252;NN;293;660293;Embarazo. Reacción inmunológica para. En urgencia sumar código 999.;;esta (mismo codigo);660293;EMBARAZO, REACCIÓN INMUNOLÓGICA PARA;1.0;2
254;NN;295;660295;Eosinófilos. Recuento de;;esta (mismo codigo);660295;EOSINÓFILOS, RECUENTO de (en moco nasal);0.5;2
255;NN;296;660296;Eritroblastos. Porcentaje de;;esta (mismo codigo);660296;ERITROBLASTOS PORCENTAJE DE;1.0;1
256;NN;297;660297;Eritrosedimentación. En urgencia sumar código 999.;;esta (mismo codigo);660297;ERITROSEDIMENTACION;1.0;1
257;NN;298;660298;Espermograma. Incluye 167-355-356;;esta (mismo codigo);660298;ESPERMOGRAMA BASICO (EIVE);0.33;1
258;NN;299;660299;Estricnina, en líquidos biológicos.;;esta (mismo codigo);660299;ESTRICNINA - líquidos biológicos.;1.0;3
259;NN;300;660300;Estradiol plamático, (por radioinmunoensayo).;;esta (mismo codigo);660300;ESTRADIOL (E2) - sérico;0.25;1
260;NN;301;660301;Estriol urinario. En urgencia sumar código 999.;;esta (mismo codigo);660301;ESTRIOL - urinario.;1.0;2
261;NN;302;660302;Estriol plasmático, (por radioinmunoensayo).;;esta (mismo codigo);660302;ESTRIOL - sérico.;0.25;1
263;NN;304;660304;Estrógenos totales, (por radioinmunoensayo).;;esta (mismo codigo);660304;ESTROGENOS TOTALES;0.67;2
264;NN;305;660305;Estrona plasmática, (por radioinmunoensayo).;;esta (mismo codigo);660305;ESTRONA - sérica.;0.25;1
267;NN;308;660308;Euglobulinas, test de . En urgencia sumar código 999.;;esta (mismo codigo);660308;EUGLOBULINAS, TEST DE;1.0;1
268;NN;309;660309;Exudado nasofaríngeo. Investigación Loefler.;;esta (mismo codigo);660309;EXUDADO NASOFARINGEO, CULTIVO.;0.5;2
278;NN;331;660331;Factor de coagulación V.;;esta (mismo codigo);660331;FACTOR DE COAGULACION V.;1.0;2
279;NN;332;660332;Factor de coagulación VII.;;esta (mismo codigo);660332;FACTOR DE COAGULACION VII.;1.0;2
280;NN;333;660333;Factor de coagulación VIII.;;esta (mismo codigo);660333;FACTOR DE COAGULACION VIII.;1.0;3
281;NN;334;660334;Factor de coagulación IX.;;esta (mismo codigo);660334;FACTOR DE COAGULACION IX.;1.0;2
282;NN;335;660335;Factor de coagulación X.;;esta (mismo codigo);660335;FACTOR DE COAGULACION X.;1.0;2
283;NN;336;660336;Factor de migración linfocitaria (MIF).;;esta (mismo codigo);660336;FACTOR DE MIGRACION LINFOCITARIA - MIF.;1.0;3
284;NN;337;660337;Fenil-Alanina.;;esta (mismo codigo);660337;FENILALANINA CONFIRMATORIO (HPLC);0.25;1
285;NN;338;660338;Fenil-Cetonuria.;;esta (mismo codigo);660338;FENILALANINA, NEONATAL (PKU);0.33;1
287;NN;340;660340;Fenilpirúvico. Acido cuantitativo en orina.;;esta (mismo codigo);660340;FENILPIRUVICO, ÁCIDO - urinario (cualitativo);0.5;2
289;NN;342;660342;Fenotiazinas.;;esta (mismo codigo);660342;FENOTIAZINAS.;1.0;1
290;NN;343;660343;Ferremía.;;esta (mismo codigo);660343;FERREMIA (Fe);1.0;1
291;NN;344;660344;Fibrína. Productos de degradación (PDF).;;esta (mismo codigo);660344;FIBRINOGENO, PRODUCTOS DE DEGRADACION - PDF - plasmático.;0.75;3
292;NN;345;660345;Fibrinógeno en sangre. En urgencia sumar código 999.;;esta (mismo codigo);660345;FIBRINOGENO - sangre.;1.0;2
296;NN;349;660349;Físico químico, examen. (líquidos, exudados, trasudados) Incluye: Aspecto, Caracteres, Cloruros, Proteínas, Rivolta y Glucosa.;;esta (mismo codigo);660349;FISICO QUIMICO - Examen de Exudados, Trasudados.;0.42;5
297;NN;350;660350;Fluoremia.;;esta (mismo codigo);660350;FLUOREMIA (F);1.0;1
299;NN;352;660352;Fólico. Acido microbiológico.;;esta (mismo codigo);660352;FOLICO, ÁCIDO.;0.67;2
300;NN;353;660353;Fondo oscuro.;;esta (mismo codigo);660353;FONDO OSCURO.;1.0;2
301;NN;354;660354;Fórmula leucocitaria. En urgencia sumar código 999. Incluido en 475;;esta (mismo codigo);660354;FORMULA LEUCOCITARIA.;1.0;2
302;NN;355;660355;Fosfatasa ácida prostática. Incluye 356;;esta (mismo codigo);660355;FOSFATASA ACIDA PROSTATICA (EFM).;1.0;3
303;NN;356;660356;Fosfatasa ácida total. Incluido en 355;;esta (mismo codigo);660356;FOSFATASA ACIDA TOTAL (EFM).;1.0;2
304;NN;357;660357;Fosfatasa alcalina. En urgencia sumar código 999. Incluido en 481;;esta (mismo codigo);660357;FOSFATASA ALCALINA (FAL);1.0;2
305;NN;358;660358;Fosfatasa alcalina citoquímica(Gomori).;;esta (mismo codigo);660358;FOSFATASA ALCALINA CITOQUIMICA GOMORI;1.0;4
306;NN;359;660359;Fosfatasa alcalina citoquímica(Kaplow).;;esta (mismo codigo);660359;FOSFATASA ALCALINA CITOQUIMICA KAPLOW;1.0;4
307;NN;360;660360;Fosfatasa alcalina(Termoestable).;;esta (mismo codigo);660360;FOSFATASA ALCALINA TERMOESTABLE.;1.0;3
308;NN;361;660361;Fosfatasa alcalina(Isoenzimas).;;esta (mismo codigo);660361;FOSFATASA ALCALINA - ISOENZIMAS.;1.0;3
309;NN;362;660362;Fosfatemia.;;esta (mismo codigo);660362;FOSFATEMIA (P);1.0;1
310;NN;363;660363;Fosfaturia.;;esta (mismo codigo);660363;FOSFATURIA (P);1.0;1
311;NN;364;660364;Fosfo-exosa-isomerasa.;;esta (mismo codigo);660364;FOSFO- HEXOSA- ISOMERASA;0.5;2
312;NN;365;660365;Fosfolípidos.;;esta (mismo codigo);660365;FOSFOLIPIDOS;1.0;1
313;NN;366;660366;Fósforo, clearence. Depuración de;;esta (mismo codigo);660366;FOSFORO CLEARENCE DEPURACION.;1.0;3
314;NN;367;660367;Fósforo. Reabsorción tubular de;;esta (mismo codigo);660367;FOSFORO REABSORCION TUBULAR;1.0;3
315;NN;368;660368;Fragmento FAB FC.;;esta (mismo codigo);660368;FRAGMENTO FAB FC;1.0;1
320;NN;373;660373;Funcional. Examen (materia fecal).;;esta (mismo codigo);660373;FUNCIONAL, EXAMEN DE MATERIA FECAL - básico;0.8;4
329;NN;401;660401;Galactosa.Prueba de la;;esta (mismo codigo);660401;GALACTOSA , PRUEBA DE LA;1.0;1
330;NN;402;660402;Galactosemia.;;esta (mismo codigo);660402;GALACTOSEMIA.;1.0;1
331;NN;403;660403;Galactosuria.;;esta (mismo codigo);660403;GALACTOSURIA;1.0;1
332;NN;404;660404;Gases en sangre, PCO2 y PO2. Incluye 5-716;;esta (mismo codigo);660404;GASES EN SANGRE, PCO2 y PO2.;1.0;3
333;NN;405;660405;Gastrina plasmática. Radioinmunoensayo.;;esta (mismo codigo);660405;GASTRINA, sérica.;0.25;1
337;NN;409;660409;Glóbulos blancos. Recuento de. En urgencia sumar código 999. Incluido en 475;;esta (mismo codigo);660409;GLOBULOS BLANCOS, RECUENTO DE;1.0;3
338;NN;410;660410;Glóbulos rojos. Recuento de. Incluido en 475;;esta (mismo codigo);660410;GLOBULOS ROJOS, RECUENTO DE;1.0;3
339;NN;411;660411;Glucagón. Test del;;esta (mismo codigo);660411;GLUCAGON.;1.0;1
340;NN;412;660412;Glucemia. En urgencia sumar código 999. Incluido en 413;;esta (mismo codigo);660412;GLUCEMIA (C/U);1.0;1
341;NN;413;660413;Glucemia. Curva de. Incluye 412, se factura 677 x cada muestra;;esta (mismo codigo);660413;GLUCEMIA, PRUEBA de SOBRECARGA (x 2 - dos determinaciones);0.25;1
343;NN;415;660415;Glucógeno. Citoquímico.;;esta (mismo codigo);660415;GLUCOGENO , CITOQUIMICO;1.0;2
344;NN;416;660416;Glucoproteinograma.;;esta (mismo codigo);660416;GLUCOPROTEINOGRAMA.;1.0;1
345;NN;417;660417;Glucosa 6-Fosfatodehidrogenasa, en glóbulos.;;esta (mismo codigo);660417;GLUCOSA en orina (C/U);0.25;1
346;NN;418;660418;Glucosa 6-Fosfatodehidrogenasa, en suero.;;esta (mismo codigo);660418;GLUCOSA 6-FOSFATO ISOMERASA;0.5;2
347;NN;419;660419;Glumato dehidrogenasa.;;esta (mismo codigo);660419;GLUTAMATO DEHIDROGENASA;0.33;1
348;NN;420;660420;Glutamil transpeptidasa.Gamma.En urgencia sumar código 999.;;esta (mismo codigo);660420;GLUTAMIL TRANSPEPTIDASA. Gamma;1.0;3
356;NN;428;660428;Gonococos.(por inmunofluorescencia).;;esta (mismo codigo);660428;GONOCOCOS , POR INMUNOFLUORESCENCIA;1.0;2
358;NN;430;660430;Graham.Test de (seriado, 7 días consecutivos).;;esta (mismo codigo);660430;GRAHAM, TEST DE;0.25;1
360;NN;432;660432;Grasas. Materia fecal. Cuantitativo (Van de Kamer).;;esta (mismo codigo);660432;GRASAS, CUANTITATIVO (Van de Kamer) - materia fecal;1.0;4
361;NN;433;660433;Grupo sanguíneo. En urgencia sumar código 999.;;esta (mismo codigo);660433;GRUPO SANGUÍNEO y FACTOR Rho - Du / Dµ;0.67;2
387;NN;463;660463;Haptoglobulina. Inmunodifusión cuantitativa.;;esta (mismo codigo);660463;HAPTOGLOBINA.;0.33;1
388;NN;464;660464;Heins. Cuerpos de;;esta (mismo codigo);660464;HEINZ, CUERPOS DE (tinción);0.25;1
389;NN;465;660465;Hematíes. Resistencia globular osmótica.;;esta (mismo codigo);660465;HEMATIES, RESISTENCIA GLOBULAR OSMOTICA (CURVA DE FRAGILIDAD OSMOTICA DE ERITROCITOS);0.57;4
390;NN;466;660466;Hematocrito. En urgencia sumar código 999. Incluido en 475-546;;esta (mismo codigo);660466;HEMATOCRITO.;1.0;1
391;NN;467;660467;"Hemoaglutinógenos, A2, DU, etc; cada determinación. En urgencia sumar código 999.";;esta (mismo codigo);660467;HEMOAGLUTINOGENOS A2 C/ U;1.0;1
392;NN;468;660468;Hemocultivo, aerobios, y anaerobios. en urgencia sumar código 999. Incluye 104-105-665, corresponde 677 x cada muestra;;esta (mismo codigo);660468;HEMOCULTIVO AEROBIOS (c/u);0.67;2
394;NN;470;660470;Hemoglobina. Dosaje de. En urgencia sumar código 999. Incluido en 475;;esta (mismo codigo);660470;HEMOGLOBINA, DOSAJE DE (Hb);1.0;1
395;NN;471;660471;Hemoglobina. Electroforesis de;;esta (mismo codigo);660471;HEMOGLOBINA, ELECTROFORESIS.;1.0;2
396;NN;472;660472;Hemoglobina en plasma.;;esta (mismo codigo);660472;HEMOGLOBINA - plasmática;1.0;2
398;NN;474;660474;Hemoglobina alcalirresistente.;;esta (mismo codigo);660474;HEMOGLOBINA ALCALIRESISTENTE;1.0;2
399;NN;475;660475;Hemograma. En urgencia sumar código 999. Incluye 354-409-410-466-470;;esta (mismo codigo);660475;HEMOGRAMA.;1.0;1
400;NN;476;660476;Hemosilinas en caliente, titulación.;;esta (mismo codigo);660476;HEMOLISINAS EN CALIENTE, TITULACIÓN;0.5;2
401;NN;477;660477;Hemosilinas en frío, excluyendo anticuerpos de Donath-Lands-Teiner.;;esta (mismo codigo);660477;HEMOLISINAS EN FRIO,  EXCL. ANTI. DE DONATH;0.25;2
402;NN;478;660478;Hemopexina. Inmunodifusión cuantitativa.;;esta (mismo codigo);660478;HEMOPEXINA,  INMUNODIFUSION CUANTITATIVA;1.0;3
403;NN;479;660479;Hemosiderina.Investigación citoquímica.;;esta (mismo codigo);660479;HEMOSIDERINA - urinaria;0.33;1
404;NN;480;660480;Heparina. Resistencia a la (in vitro).;;esta (mismo codigo);660480;HEPARINA, RESISTENCIA A LA (In Vitro);1.0;3
405;NN;481;660481;Hepatograma o Hepatograma completo. En urgencia sumar código 999. Incluye 110-174-357-762-763-771-873-874;;esta (mismo codigo);660481;HEPATOGRAMA.;0.5;1
407;NN;483;660483;Hidatidosis. Hemoaglutinación.;;esta (mismo codigo);660483;HIDATIDOSIS (HAI);0.5;1
408;NN;484;660484;Hidatidosis. Test del latex.;;esta (mismo codigo);660484;HIDATIDOSIS, Ac. IgG ó Totales Anti- (IFI);0.33;1
409;NN;485;660485;Hidratos de carbono. Cromatografía bidimencional en papel (orina).;;esta (mismo codigo);660485;HIDRATOS DE CARBONO CROMATOGRAFIA, EN ORINA;0.67;4
410;NN;486;660486;17-Hidrocorticoides en orina.;;esta (mismo codigo);660486;17- HIDROXICORTICOIDES, EN ORINA;1.0;2
411;NN;487;660487;Hidroxindolacético, acido.;;esta (mismo codigo);660487;HIDROXINDOLACETICO, ÁCIDO.;1.0;2
412;NN;488;660488;Hidroxiprolinuria.;;esta (mismo codigo);660488;HIDROXIPROLINA - urinaria.;0.5;1
413;NN;489;660489;Hiperheparinemia.;;esta (mismo codigo);660489;HIPERHEPARINEMIA.;1.0;1
416;NN;492;660492;Homogentísico. Acido (orina).;;esta (mismo codigo);660492;HOMOGENTISICO , ACIDO - ORINA;1.0;3
417;NN;493;660493;Hubbner.Test de;;esta (mismo codigo);660493;HUBBNER , TEST DE;1.0;1
418;NN;494;660494;Huddlesson. Reacción de;;esta (mismo codigo);660494;HUDDLESSON, REACCION DE (Rosa de Bengala - Brucelosis).;0.25;1
438;NN;531;660531;Identificación de Mycobacterium.;;esta (mismo codigo);660531;MYCOBACTERIUM, IDENTIFICACION.;1.0;2
439;NN;532;660532;Identificación serológica de gérmenes. Incluye 104-105-106;;esta (mismo codigo);660532;IDENTIFICACION SEROLÓGICA DE GERMENES.;1.0;3
441;NN;534;660534;Indoxilemia.;;esta (mismo codigo);660534;INDOXILEMIA;1.0;1
442;NN;535;660535;Inmunoelectroforesis.;;esta (mismo codigo);660535;INMUNOELECTROFORESIS.;1.0;1
443;NN;536;660536;Inmunoelectroforesis de líquidos biológicos (no incluye concentración).;;esta (mismo codigo);660536;INMUNOELECTROFORESIS LIQUIDOS BIOLOGICOS.;0.75;3
444;NN;537;660537;Inmunoglobulina A (IGA), cadena alfa, cuantificación.;;esta (mismo codigo);660537;INMUNOGLOBULINA A (IgA);0.25;1
445;NN;538;660538;Inmunoglobulina D (IGD), cadena delta, cuantificación.;;esta (mismo codigo);660538;INMUNOGLOBULINA D (IgD);0.25;1
